Standardized model parameters,,,,,,,,
,Warmth,,Consistency,,Inductive reasoning,,Anger,
Parameter,Estimate,95% HPDI,Estimate,95% HPDI,Estimate,95% HPDI,Estimate,95% HPDI
Between-family level correlations,,,,,,,,
Mother with Emo.,0.09,"[-0.30,  0.51]",0.20*,"[ 0.07,  0.32]",-0.12*,"[-0.26,  0.02]",-0.29*,"[-0.39, -0.20]"
Father with Emo.,-0.05,"[-0.41,  0.32]",0.18*,"[ 0.04,  0.32]",-0.14*,"[-0.26, -0.02]",-0.29*,"[-0.40, -0.17]"
Mother with Father,0.61*,"[ 0.50,  0.72]",0.61*,"[ 0.52,  0.71]",0.53*,"[ 0.42,  0.65]",0.64*,"[ 0.59,  0.70]"
Within-family level correlations,,,,,,,,
Emo. with Mother,0.04*,"[ 0.01,  0.08]",0.04*,"[ 0.00,  0.08]",0,"[-0.04,  0.03]",-0.03,"[-0.07,  0.01]"
Father with Emo.,0.07*,"[ 0.04,  0.11]",0.02,"[-0.02,  0.06]",0.04*,"[ 0.00,  0.08]",-0.02,"[-0.07,  0.03]"
Father with Mother,0.16*,"[ 0.13,  0.19]",0.14*,"[ 0.10,  0.17]",0.07*,"[ 0.04,  0.10]",0.16*,"[ 0.12,  0.19]"
Intercepts of parenting effects,,,,,,,,
(Emo. on Mother),0.99*,"[-0.20,  2.57]",0.07,"[-1.22,  1.38]",0.55,"[-0.74,  1.79]",-0.49,"[-1.73,  0.72]"
(Emo. on Father),-0.36,"[-0.98,  0.29]",-0.16,"[-0.90,  0.53]",-0.28,"[-1.02,  0.47]",0.1,"[-0.54,  0.71]"
Intercepts of child effects,,,,,,,,
(Mother on Emo.),4.38*,"[ 1.09,  7.45]",0.83,"[-0.37,  2.05]",3.21*,"[ 1.64,  4.83]",1.27*,"[ 0.21,  2.38]"
(Father on Emo.),2.14*,"[-0.27,  5.18]",0.91,"[-0.25,  2.13]",0.4,"[-0.97,  1.78]",0.01,"[-1.24,  1.25]"
Effects of quantitative involvement on parenting and adjustment,,,,,,,,
Mother on Joint,0.14*,"[ 0.05,  0.24]",0.10*,"[ 0.01,  0.18]",0.25*,"[ 0.15,  0.35]",0,"[-0.06,  0.06]"
Father on Joint,0.26*,"[ 0.18,  0.34]",0.12*,"[ 0.04,  0.20]",0.24*,"[ 0.16,  0.33]",-0.04,"[-0.11,  0.04]"
Emo. on Joint,-0.16,"[-0.39,  0.06]",-0.08*,"[-0.17,  0.01]",-0.08*,"[-0.17,  0.01]",-0.09*,"[-0.17,  0.00]"
Mother on Relative,0.11*,"[ 0.02,  0.20]",-0.03,"[-0.12,  0.06]",0,"[-0.09,  0.10]",-0.02,"[-0.08,  0.04]"
Father on Relative,-0.21*,"[-0.29, -0.12]",-0.07*,"[-0.16,  0.01]",-0.11*,"[-0.20, -0.02]",0.05,"[-0.02,  0.12]"
Emo. on Relative,-0.39*,"[-0.65, -0.18]",-0.14*,"[-0.23, -0.05]",-0.14*,"[-0.23, -0.06]",-0.12*,"[-0.21, -0.03]"
Moderating effect of quantitative involvement on parenting effects,,,,,,,,
(Emo. on Mother) on Joint,-0.15*,"[-0.36,  0.02]",0.01,"[-0.17,  0.19]",-0.06,"[-0.25,  0.12]",0.11,"[-0.06,  0.28]"
(Emo. on Father) on Joint,0.06,"[-0.03,  0.15]",0.02,"[-0.08,  0.13]",0.04,"[-0.07,  0.15]",0,"[-0.09,  0.09]"
(Emo. on Mother) on Relative,0.16*,"[-0.01,  0.40]",-0.09,"[-0.29,  0.09]",0.05,"[-0.15,  0.26]",0.05,"[-0.13,  0.21]"
(Emo. on Father) on Relative,-0.01,"[-0.10,  0.08]",0.02,"[-0.08,  0.12]",0.07,"[-0.04,  0.17]",0.04,"[-0.06,  0.13]"
Moderating effect of quantitative involvement on child effects,,,,,,,,
(Mother on Emo.) on Joint,-0.26,"[-0.64,  0.20]",-0.12,"[-0.28,  0.06]",-0.33*,"[-0.55, -0.10]",-0.06,"[-0.21,  0.08]"
(Father on Emo.) on Joint,-0.06,"[-0.42,  0.27]",-0.11,"[-0.28,  0.06]",0.02,"[-0.17,  0.21]",-0.01,"[-0.18,  0.16]"
(Mother on Emo.) on Relative,-0.41*,"[-0.79, -0.05]",-0.1,"[-0.27,  0.07]",0,"[-0.22,  0.23]",-0.02,"[-0.16,  0.12]"
(Father on Emo.) on Relative,-0.02,"[-0.40,  0.34]",-0.12,"[-0.30,  0.04]",-0.26*,"[-0.45, -0.08]",0.02,"[-0.15,  0.18]"
Sex differences in parenting and adjustment,,,,,,,,
Mother on sex,-0.05,"[-0.11,  0.01]",0,"[-0.06,  0.05]",0.09*,"[ 0.02,  0.15]",0.09*,"[ 0.05,  0.12]"
Father on sex,-0.08*,"[-0.14, -0.03]",0,"[-0.06,  0.05]",0.06*,"[ 0.01,  0.12]",0.09*,"[ 0.04,  0.14]"
Emo. on sex,0.04,"[-0.09,  0.19]",0.01,"[-0.04,  0.07]",0.01,"[-0.04,  0.07]",0,"[-0.06,  0.06]"
Sex differences in cross-lagged effects,,,,,,,,
